id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
AK-AL,733391,0.43006525,0.53122894,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.10116369,White
AL-01,717322,0.23396292,0.75344951,0.75599098,0.24400902,0.1536415,0.03938018,0.00151359,0.01839671,0.0302016,556295,-0.51948659,White
AL-02,718179,0.57667036,0.41228036,0.42166737,0.57833263,0.51555668,0.02557651,0.00112164,0.02129503,0.01904463,560788,0.16439,Black
AL-03,717621,0.31761537,0.66944585,0.67450105,0.32549895,0.24556009,0.0372776,0.00136996,0.02206727,0.02075432,561329,-0.35183048,White
AL-04,716922,0.14422201,0.84430759,0.85627992,0.14372008,0.04119157,0.06019057,0.00089543,0.00741437,0.03495245,553924,-0.70008558,White
AL-05,717587,0.37934542,0.60035792,0.69046204,0.30953796,0.20031177,0.05183969,0.00182758,0.02554525,0.03252637,561944,-0.2210125,White
AL-06,718453,0.26333145,0.72139792,0.77838588,0.22161412,0.13999939,0.03626642,0.00085638,0.01989813,0.02327686,555831,-0.45806647,White
AL-07,718195,0.65663852,0.32965144,0.41255434,0.58744566,0.50920457,0.04770437,0.00114804,0.0190881,0.01482396,567055,0.32698708,Black
AR-01,752351,0.35115294,0.61902999,0.63318706,0.36681294,0.28645983,0.04398234,0.00136166,0.00862039,0.0265874,583848,-0.26787705,White
AR-02,752536,0.32932203,0.64483222,0.76628055,0.23371945,0.11851891,0.05920557,0.00128972,0.01863933,0.03490791,584624,-0.31551019,White
AR-03,753678,0.36666722,0.60331233,0.71652272,0.28347728,0.03560114,0.13846376,0.01328295,0.04184748,0.05644109,566892,-0.23664511,White
AR-04,752959,0.34561712,0.62663392,0.74519552,0.25480448,0.16494456,0.04024205,0.00210432,0.01574945,0.02944139,576909,-0.2810168,White
AZ-01,793933,0.50272765,0.48222546,0.51993479,0.48006521,0.04082466,0.18865268,0.00495488,0.04356804,0.21326736,607280,0.02050219,White
AZ-02,794183,0.53607501,0.44802661,0.64893402,0.35106598,0.04837139,0.22719988,0.00449358,0.04898288,0.03316197,642694,0.0880484,White
AZ-03,795276,0.59799836,0.3874112,0.34484092,0.65515908,0.05138321,0.54186622,0.0039285,0.02658674,0.0554109,594883,0.21058716,Hispanic
AZ-04,794117,0.31367839,0.67376771,0.78603954,0.21396046,0.01754563,0.13551058,0.00355188,0.02278794,0.03495535,654864,-0.36008932,White
AZ-05,795010,0.38279009,0.60086607,0.72944423,0.27055577,0.04070051,0.15735663,0.00526143,0.04535258,0.02744989,592425,-0.21807598,White
AZ-06,795255,0.52415625,0.46198395,0.70665945,0.29334055,0.0464878,0.15342755,0.00303872,0.06138839,0.0343205,645008,0.0621723,White
AZ-07,794503,0.71499251,0.26888398,0.21244317,0.78755683,0.12166232,0.60581364,0.004597,0.04094887,0.04586396,556450,0.44610853,Hispanic
AZ-08,794900,0.42397792,0.56208819,0.6829822,0.3170178,0.05530018,0.18870764,0.00414587,0.04888243,0.02785947,623271,-0.13811027,White
AZ-09,794325,0.60670227,0.373675,0.53360017,0.46639983,0.0767492,0.27361818,0.00592224,0.07876327,0.05001752,625101,0.23302727,White
CA-01,760069,0.60180579,0.372258,0.63511145,0.36488855,0.02292648,0.24443565,0.00670254,0.05073943,0.05282883,596341,0.22954779,White
CA-02,760510,0.60593693,0.37056538,0.71860955,0.28139045,0.02751323,0.13675058,0.00586247,0.0539654,0.06199198,619193,0.23537155,White
CA-03,760220,0.56405792,0.41151737,0.61429023,0.38570977,0.06597678,0.16444687,0.01084169,0.12421618,0.03469944,597877,0.15254055,White
CA-04,760406,0.61535887,0.36082687,0.55106571,0.44893429,0.03125778,0.26369842,0.00809552,0.12239715,0.04028067,594156,0.254532,White
CA-05,759395,0.40749157,0.57117639,0.56753504,0.43246496,0.02922464,0.28988387,0.0084789,0.0769127,0.04513261,585807,-0.16368482,White
CA-06,759270,0.55087289,0.42200054,0.56557938,0.43442062,0.08699893,0.1778212,0.01283988,0.13971472,0.03549211,590582,0.12887235,White
CA-07,760566,0.57495013,0.40241806,0.43883396,0.56116604,0.09921421,0.20424933,0.02022124,0.22520939,0.03727826,579292,0.17253207,Minority
CA-08,760418,0.61705346,0.36006039,0.39392586,0.60607414,0.14808047,0.26632489,0.01662183,0.17404869,0.03556841,591030,0.25699307,Minority
CA-09,759311,0.60939215,0.36831293,0.30482667,0.69517333,0.09364854,0.37098543,0.0133045,0.21816558,0.03733175,560863,0.24107922,Hispanic
CA-10,760707,0.75583133,0.22349001,0.42579309,0.57420691,0.09769776,0.25685369,0.00951291,0.20269221,0.02890282,598765,0.53234132,Minority
CA-11,759871,0.86289892,0.11728119,0.44685009,0.55314991,0.06514956,0.13293645,0.00692056,0.34127543,0.01937757,664686,0.74561773,Minority
CA-12,759968,0.89392485,0.08531328,0.35225675,0.64774325,0.18111653,0.21208915,0.009324,0.24410707,0.03069398,620871,0.80861157,Minority
CA-13,760437,0.6058623,0.37051902,0.28465788,0.71534212,0.03939923,0.56876419,0.00838224,0.09158973,0.05066416,552955,0.23534328,Hispanic
CA-14,759924,0.7190803,0.26087537,0.29061412,0.70938588,0.065605,0.20811208,0.01785538,0.41951524,0.02324217,586434,0.45820493,Asian
CA-15,759290,0.77159402,0.20928384,0.34356301,0.65643699,0.0313412,0.20512892,0.01452035,0.4023618,0.01978818,613346,0.56231018,Asian
