id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
AK-AL,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,White
AL-01,717322,0.21426783,0.77504411,0.75599098,0.24400902,0.1536415,0.03938018,0.00151359,0.01839671,0.0302016,556295,-0.56077628,White
AL-02,718179,0.55185128,0.43588529,0.42166737,0.57833263,0.51555668,0.02557651,0.00112164,0.02129503,0.01904463,560788,0.11596599,Black
AL-03,717621,0.28897254,0.69925962,0.67450105,0.32549895,0.24556009,0.0372776,0.00136996,0.02206727,0.02075432,561329,-0.41028708,White
AL-04,716922,0.13195802,0.85844796,0.85627992,0.14372008,0.04119157,0.06019057,0.00089543,0.00741437,0.03495245,553924,-0.72648994,White
AL-05,717587,0.36628743,0.61538155,0.69046204,0.30953796,0.20031177,0.05183969,0.00182758,0.02554525,0.03252637,561944,-0.24909412,White
AL-06,718453,0.2605656,0.72433506,0.77838588,0.22161412,0.13999939,0.03626642,0.00085638,0.01989813,0.02327686,555831,-0.46376946,White
AL-07,718195,0.63442859,0.35083555,0.41255434,0.58744566,0.50920457,0.04770437,0.00114804,0.0190881,0.01482396,567055,0.28359304,Black
AR-01,752351,0.32996546,0.65233354,0.63318706,0.36681294,0.28645983,0.04398234,0.00136166,0.00862039,0.0265874,583848,-0.32236808,White
AR-02,752536,0.31577458,0.66244548,0.76628055,0.23371945,0.11851891,0.05920557,0.00128972,0.01863933,0.03490791,584624,-0.3466709,White
AR-03,753678,0.36095477,0.61182937,0.71652272,0.28347728,0.03560114,0.13846376,0.01328295,0.04184748,0.05644109,566892,-0.2508746,White
AR-04,752959,0.33545292,0.64217846,0.74519552,0.25480448,0.16494456,0.04024205,0.00210432,0.01574945,0.02944139,576909,-0.30672554,White
AZ-01,793933,0.47155685,0.51742149,0.51993479,0.48006521,0.04082466,0.18865268,0.00495488,0.04356804,0.21326736,607280,-0.04586464,White
AZ-02,794183,0.52915191,0.45863472,0.64893402,0.35106598,0.04837139,0.22719988,0.00449358,0.04898288,0.03316197,642694,0.07051719,White
