id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"1",MN,"714088","0.00108876","0.53942523","0.43676202","0.78760839","0.21239161","0.06734016","0.07590507","0.00177697","0.0459818","0.02016274","546999","0.10266321",#2020ff,"0.5"
"1","1","764966","0.00013243","0.54278765","0.44704583","0.70622479","0.29377521","0.08441699","0.16135631","0.0012438","0.04476868","0.01366864","606205","0.09574182",#6464ff,"0.5"
"1","1","767108","0.00015779","0.20931976","0.78231644","0.69715906","0.30284094","0.13247263","0.12796063","0.00106724","0.01790354","0.0258603","588431","-0.57299668",#960018,"0.5"
"1","1","919821","0.00029145","0.20178301","0.77244264","0.83231808","0.16768192","0.00734642","0.10983067","0.00334733","0.01486243","0.02896544","678153","-0.57065963",#960018,"0.5"
"1","1","774954","-0.00028956","0.34338511","0.64230066","0.91174314","0.08825686","0.01340288","0.01499375","0.00089586","0.00770092","0.04385106","627328","-0.29891555",#960018,"0.5"
"1","1","760069","3.82e-06","0.56870618","0.39862892","0.63511145","0.36488855","0.02292648","0.24443565","0.00670254","0.05073943","0.05282883","596341","0.17007726",#2020ff,"0.5"
"2","2","765169","0.00039784","0.63624726","0.35282199","0.56971361","0.43028639","0.14653239","0.18534693","0.00188772","0.098743","0.01374658","610261","0.28342527",#00008b,"0.5"
"2","2","737558","0.00114461","0.5451489","0.43873076","0.85273379","0.14726621","0.03447727","0.06187226","0.000948","0.03112815","0.01561078","578062","0.10641814",#2020ff,"0.5"
"2","2","766766","-0.00028811","0.49151054","0.48968636","0.29414845","0.70585155","0.21206999","0.36873414","0.00205886","0.1189207","0.02830224","561475","0.00182418",#dbdbff,"0.5"
"1","1","733391","0","0.4135581","0.54594465","0.61476201","0.38523799","0.04271638","0.06036249","0.02018762","0.07835156","0.19085998","554003","-0.13238655",#ff2020,"0.5"
"1","1","718010","0.00035647","0.2045242","0.78500734","0.77078221","0.22921779","0.13884584","0.0385079","0.00147804","0.01818309","0.03103161","557496","-0.58048314",#960018,"0.5"
"9","9","770050","0.00108004","0.53363692","0.45041695","0.31802717","0.68197283","0.14247947","0.49563334","0.00283711","0.05327781","0.01919548","594619","0.08321997",#7373ff,"0.5"
"2","2","717922","0.00023386","0.53291317","0.45461668","0.44049518","0.55950482","0.486832","0.03189947","0.00132345","0.02933063","0.01478684","563677","0.07829649",#7a7aff,"0.5"
"3","3","717417","-0.00046972","0.2493944","0.73626556","0.77652953","0.22347047","0.14214682","0.03901133","0.0009496","0.01759923","0.02241958","552865","-0.48687116",#960018,"0.5"
"4","4","717372","-0.00053241","0.19284937","0.79524333","0.83062692","0.16937308","0.08612081","0.03863887","0.00098891","0.01037998","0.03270363","560213","-0.60239396",#960018,"0.5"
"5","5","717515","-0.00033318","0.54120642","0.44080889","0.50889318","0.49110682","0.39161781","0.05517843","0.00184613","0.02395321","0.02363183","560092","0.10039753",#2020ff,"0.5"
"6","6","718061","0.00042752","0.18068628","0.80976418","0.78771821","0.21228179","0.11558111","0.05564285","0.0011385","0.00925705","0.03235747","556873","-0.6290779",#960018,"0.5"
"7","7","717982","0.00031746","0.55649321","0.42689628","0.47390936","0.52609064","0.44528669","0.03940631","0.00101246","0.0249545","0.01856701","565950","0.12959693",#2020ff,"0.5"
"1","1","753544","0.00088062","0.20100012","0.77931072","0.86729837","0.13270163","0.05286275","0.0289678","0.00194184","0.00913524","0.03416265","581922","-0.5783106",#960018,"0.5"
"2","2","753179","0.00039581","0.54863837","0.42773087","0.52448187","0.47551813","0.37680481","0.05590243","0.00115816","0.02268629","0.02307577","582819","0.1209075",#2020ff,"0.5"
"3","3","752286","-0.0007903","0.36240413","0.61036366","0.71596476","0.28403524","0.03566838","0.1390563","0.01354426","0.04182438","0.05620312","565627","-0.24795953",#960018,"0.5"
"4","4","752515","-0.00048613","0.26115218","0.71958885","0.75343054","0.24656946","0.13976852","0.05827412","0.00142119","0.01124582","0.03401414","581905","-0.45843667",#960018,"0.5"
"1","1","793623","-0.00124379","0.51322787","0.47603679","0.61314953","0.38685047","0.06827421","0.23042326","0.00348737","0.05954063","0.03605795","626547","0.03719108",#aeaeff,"0.5"
"2","2","795564","0.00119891","0.52249738","0.46596836","0.50828855","0.49171145","0.04908328","0.19769574","0.00522308","0.03895383","0.21439627","615729","0.05652902",#9595ff,"0.5"
"3","3","794222","-0.00048997","0.54520121","0.44443181","0.33839586","0.66160414","0.08730199","0.51358324","0.0045292","0.04211128","0.03763797","572507","0.1007694",#2020ff,"0.5"
"4","4","795377","0.00096357","0.5240512","0.4618953","0.57462779","0.42537221","0.06914654","0.24063157","0.00602849","0.08353511","0.0405633","624037","0.0621559",#8e8eff,"0.5"
"5","5","794913","0.00037964","0.34934128","0.64075793","0.73753464","0.26246536","0.03554712","0.15250441","0.00496329","0.04308347","0.03090715","590737","-0.29141665",#960018,"0.5"
"6","6","794933","0.00040481","0.52865889","0.459229","0.65462409","0.34537591","0.04803156","0.22244568","0.0044618","0.04895715","0.03213027","643910","0.06942989",#8585ff,"0.5"
"7","7","794385","-0.00028484","0.52688754","0.46303619","0.35803041","0.64196959","0.04419409","0.53940811","0.00357215","0.02244206","0.05581611","598519","0.06385135",#8c8cff,"0.5"
"8","8","794716","0.00013172","0.5077296","0.4812701","0.62690349","0.37309651","0.06741392","0.22830308","0.00372621","0.04777092","0.03732232","631472","0.0264595",#bcbcff,"0.5"
"9","9","793769","-0.00106006","0.29628794","0.69627086","0.78504913","0.21495087","0.02364538","0.1237052","0.00380412","0.03058489","0.03421203","638518","-0.39998292",#960018,"0.5"
"1","1","722625","0.00126193","0.66083303","0.31211366","0.53365296","0.46634704","0.09702732","0.30393373","0.00399988","0.04641125","0.03488079","556266","0.34871937",#00008b,"0.5"
"2","2","720816","-0.00124461","0.5680228","0.40603815","0.77827944","0.22172056","0.01321419","0.13556552","0.0024472","0.03695169","0.03202073","574534","0.16198465",#2020ff,"0.5"
"3","3","721365","-0.00048392","0.53610027","0.43595184","0.65754892","0.34245108","0.04649211","0.23807812","0.00443089","0.02506885","0.04397039","573022","0.10014843",#2020ff,"0.5"
