id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"1","1","737057","0.00046456","0.50955719","0.47117982","0.7623704","0.2376296","0.0756797","0.10407017","0.00114889","0.03988798","0.0188573","578821","0.03837737",#acacff,"0.5"
"2","2","735800","-0.00124166","0.66703189","0.3158231","0.81301344","0.18698656","0.05013788","0.06073883","0.0011324","0.05776626","0.01501459","586363","0.35120879",#00008b,"0.5"
"1","1","733391","0","0.4135581","0.54594465","0.61476201","0.38523799","0.04271638","0.06036249","0.02018762","0.07835156","0.19085998","554003","-0.13238655",#ff2020,"0.5"
"1","1","717322","-0.00060208","0.21426783","0.77504411","0.75599098","0.24400902","0.1536415","0.03938018","0.00151359","0.01839671","0.0302016","556295","-0.56077628",#960018,"0.5"
"2","2","718179","0.00059193","0.55185128","0.43588529","0.42166737","0.57833263","0.51555668","0.02557651","0.00112164","0.02129503","0.01904463","560788","0.11596599",#2020ff,"0.5"
"3","3","717621","-0.0001855","0.28897254","0.69925962","0.67450105","0.32549895","0.24556009","0.0372776","0.00136996","0.02206727","0.02075432","561329","-0.41028708",#960018,"0.5"
"4","4","716922","-0.00115937","0.13195538","0.85845057","0.85627992","0.14372008","0.04119157","0.06019057","0.00089543","0.00741437","0.03495245","553924","-0.72649519",#960018,"0.5"
"5","5","717587","-0.00023287","0.36628923","0.6153798","0.69046204","0.30953796","0.20031177","0.05183969","0.00182758","0.02554525","0.03252637","561944","-0.24909057",#960018,"0.5"
"6","6","718453","0.00097367","0.2605656","0.72433506","0.77838588","0.22161412","0.13999939","0.03626642","0.00085638","0.01989813","0.02327686","555831","-0.46376946",#960018,"0.5"
"7","7","718195","0.00061422","0.63442859","0.35083555","0.41255434","0.58744566","0.50920457","0.04770437","0.00114804","0.0190881","0.01482396","567055","0.28359304",#00008b,"0.5"
"1","1","752941","7.969e-05","0.20606999","0.77410607","0.86029892","0.13970108","0.05821438","0.03066344","0.00196534","0.00994383","0.03349863","580561","-0.56803608",#960018,"0.5"
"2","2","753677","0.00105727","0.5373771","0.43952579","0.5279442","0.4720558","0.37701814","0.053266","0.00119308","0.02168778","0.02293221","584200","0.09785131",#2020ff,"0.5"
"3","3","752341","-0.00071724","0.36260378","0.61016521","0.71594457","0.28405543","0.03564901","0.13905535","0.01354404","0.04181294","0.05626204","565710","-0.24756143",#960018,"0.5"
"4","4","752565","-0.00041972","0.25870839","0.72176197","0.75777326","0.24222674","0.13348184","0.05915586","0.00136301","0.01141626","0.03478675","581802","-0.46305358",#960018,"0.5"
"1","1","793933","-0.00085367","0.47155685","0.51742149","0.51993479","0.48006521","0.04082466","0.18865268","0.00495488","0.04356804","0.21326736","607280","-0.04586464",#ffa3a3,"0.5"
"2","2","794183","-0.00053905","0.52915191","0.45863472","0.64893402","0.35106598","0.04837139","0.22719988","0.00449358","0.04898288","0.03316197","642694","0.07051719",#8484ff,"0.5"
"3","3","795276","0.00083647","0.54960877","0.440265","0.34484092","0.65515908","0.05138321","0.54186622","0.0039285","0.02658674","0.0554109","594883","0.10934377",#2020ff,"0.5"
"4","4","794117","-0.00062211","0.29661472","0.69577321","0.78603954","0.21396046","0.01754563","0.13551058","0.00355188","0.02278794","0.03495535","654864","-0.39915849",#960018,"0.5"
"5","5","795010","0.00050171","0.37366063","0.61612374","0.72944423","0.27055577","0.04070051","0.15735663","0.00526143","0.04535258","0.02744989","592425","-0.24246311",#960018,"0.5"
"6","6","795255","0.00081004","0.50402022","0.4857304","0.70665945","0.29334055","0.0464878","0.15342755","0.00303872","0.06138839","0.0343205","645008","0.01828982",#c6c6ff,"0.5"
